tyrophan thing1
3/25/2014 8:22:35 PM
Wavelength (nm),Absorbance
283.00,0.076759
282.00,0.078216
281.00,0.079591
280.00,0.080976
279.00,0.082103
278.00,0.082870
277.00,0.083102
276.00,0.082847
275.00,0.082187
274.00,0.081242
273.00,0.080077
272.00,0.078745
271.00,0.077272
270.00,0.075620
269.00,0.073775
268.00,0.071709
267.00,0.069323
266.00,0.066639
265.00,0.063800
264.00,0.060828
263.00,0.057746
262.00,0.054609
261.00,0.051351
260.00,0.048098
259.00,0.044867
258.00,0.041607
257.00,0.038512
256.00,0.035518
255.00,0.032622
254.00,0.029796
253.00,0.027089
252.00,0.024580
251.00,0.022288
250.00,0.020226
249.00,0.018294
248.00,0.016615
247.00,0.015270
246.00,0.014123
245.00,0.013324
244.00,0.012912
243.00,0.012963
242.00,0.013514
241.00,0.014643
240.00,0.016563
239.00,0.019417
238.00,0.023785
237.00,0.030196
236.00,0.038833
235.00,0.051572
234.00,0.068170
233.00,0.089423
232.00,0.117034
231.00,0.149863
230.00,0.186967
229.00,0.228193
228.00,0.271902
227.00,0.316515
226.00,0.360638
225.00,0.403339
224.00,0.441974
223.00,0.476066
222.00,0.504302
221.00,0.524318
220.00,0.536601
219.00,0.542175
218.00,0.540602
217.00,0.533067
216.00,0.521145
215.00,0.505623
214.00,0.487400
213.00,0.467524
212.00,0.446984
211.00,0.426599
210.00,0.407437
209.00,0.390383
208.00,0.375843
207.00,0.364186
206.00,0.356079
205.00,0.351185
204.00,0.348357
203.00,0.347393
202.00,0.347986
201.00,0.349815
200.00,0.352528
