Wavelength (nm),ureaNoCyt,ureaM0,ureaM1,ureaM2,ureaM3,ureaM4,ureaM5,ureaM6,ureaM7,ureaM8,ureaM9,ureaM10,NATA1,kpi-water2
374,-0.074883,0.358472,0.233812,0.569757,0.696571,0.494013,0.634904,0.433118,0.431822,0.436331,0.489708,0.631137,0.22962,-0.041527
373,-0.07587,0.349419,0.228025,0.564532,0.689923,0.484476,0.628479,0.424623,0.424039,0.426901,0.483921,0.620109,0.23022,-0.042642
372,-0.074227,0.344634,0.221163,0.559302,0.681785,0.477097,0.622769,0.417403,0.414951,0.419414,0.476064,0.610497,0.229629,-0.04359
371,-0.075537,0.336036,0.217046,0.552618,0.679859,0.472071,0.617206,0.411589,0.409724,0.412486,0.469068,0.603758,0.227853,-0.04218
370,-0.075854,0.333553,0.214272,0.549564,0.672114,0.466698,0.611632,0.406198,0.403542,0.408365,0.463898,0.596997,0.229917,-0.043803
369,-0.075451,0.329699,0.210514,0.546765,0.670927,0.462019,0.610419,0.40249,0.398229,0.402089,0.457716,0.591405,0.229144,-0.042409
368,-0.075275,0.327067,0.207984,0.541327,0.662446,0.458479,0.603397,0.396254,0.394716,0.399659,0.453952,0.587787,0.22843,-0.042725
367,-0.075905,0.322464,0.203684,0.538315,0.660296,0.455176,0.600732,0.394528,0.391074,0.393721,0.451605,0.582241,0.228064,-0.044732
366,-0.075721,0.32165,0.203359,0.537864,0.660111,0.454202,0.602678,0.394257,0.388893,0.391311,0.449636,0.581292,0.228653,-0.043194
365,-0.076323,0.320509,0.20322,0.537539,0.655705,0.452955,0.602853,0.391775,0.388004,0.390436,0.446703,0.580917,0.227855,-0.044827
364,-0.076474,0.318588,0.201977,0.534348,0.646786,0.453467,0.600299,0.391301,0.38645,0.387986,0.445539,0.577737,0.226607,-0.04158
363,-0.07969,0.315505,0.201056,0.527737,0.641112,0.452862,0.603258,0.388966,0.386152,0.382512,0.442504,0.580309,0.224286,-0.041647
362,-0.079524,0.314963,0.201658,0.529016,0.640489,0.452852,0.60238,0.388761,0.385597,0.380474,0.442565,0.579846,0.223411,-0.042052
361,-0.07849,0.315663,0.202209,0.532621,0.640391,0.452524,0.603851,0.390887,0.386598,0.383214,0.443368,0.580563,0.2249,-0.042139
360,-0.077874,0.31563,0.202215,0.533318,0.645679,0.454059,0.602984,0.391179,0.38776,0.38592,0.444831,0.580357,0.225385,-0.04289
359,-0.078769,0.312851,0.20273,0.53369,0.646789,0.454592,0.603454,0.392079,0.388436,0.386158,0.445441,0.580297,0.224281,-0.042916
358,-0.079131,0.312403,0.203553,0.532527,0.640282,0.455701,0.606018,0.394207,0.389272,0.384931,0.447693,0.582899,0.224405,-0.041706
357,-0.076627,0.311762,0.204744,0.538242,0.649825,0.457987,0.605813,0.394848,0.391763,0.390161,0.448805,0.584592,0.225767,-0.043921
356,-0.077603,0.308645,0.20403,0.536726,0.652461,0.459472,0.604592,0.396523,0.392348,0.390636,0.450423,0.585949,0.225229,-0.043996
355,-0.077395,0.30545,0.204035,0.53809,0.651524,0.459552,0.607589,0.397462,0.392691,0.392386,0.450699,0.587357,0.225018,-0.045195
354,-0.075535,0.302405,0.205024,0.538452,0.654926,0.461234,0.60921,0.397582,0.392921,0.39175,0.451954,0.587487,0.22598,-0.046499
353,-0.075644,0.298145,0.203536,0.538451,0.654182,0.459361,0.606243,0.397656,0.391795,0.393722,0.452497,0.588474,0.225951,-0.045903
352,-0.075494,0.292309,0.202652,0.540253,0.658789,0.458051,0.605681,0.396137,0.390978,0.391412,0.452245,0.585783,0.224563,-0.046369
351,-0.074857,0.289462,0.200763,0.538953,0.656641,0.457815,0.607229,0.394734,0.389861,0.392011,0.451068,0.586718,0.224583,-0.046845
350,-0.074359,0.284152,0.199666,0.5395,0.659054,0.455564,0.601599,0.39323,0.388762,0.392038,0.448206,0.583117,0.225146,-0.047503
349,-0.075023,0.279478,0.197032,0.539068,0.655265,0.452887,0.601821,0.391453,0.3869,0.38835,0.446689,0.582188,0.223258,-0.048471
348,-0.073621,0.27624,0.19382,0.534824,0.653326,0.449859,0.596296,0.389058,0.38297,0.383658,0.443075,0.581136,0.221552,-0.048261
347,-0.074605,0.269771,0.193328,0.53163,0.644128,0.450034,0.597264,0.385017,0.380027,0.380045,0.44105,0.577356,0.221967,-0.047993
346,-0.076339,0.262661,0.190821,0.528465,0.637637,0.445725,0.593845,0.38108,0.376836,0.374161,0.437087,0.574037,0.220535,-0.049312
345,-0.075905,0.257616,0.187931,0.523707,0.634449,0.44324,0.590804,0.377468,0.372533,0.371275,0.43241,0.569371,0.218895,-0.047581
344,-0.075622,0.253244,0.184789,0.521717,0.632477,0.439346,0.589126,0.374926,0.368849,0.368424,0.429278,0.564968,0.21975,-0.048298
343,-0.075009,0.250939,0.181503,0.522632,0.63571,0.434373,0.585989,0.371893,0.363397,0.36421,0.424667,0.559725,0.218927,-0.049209
342,-0.074918,0.244557,0.178518,0.52153,0.633025,0.432168,0.581343,0.369255,0.360879,0.363009,0.422654,0.554928,0.218153,-0.049777
341,-0.074383,0.24251,0.175943,0.519611,0.630511,0.428778,0.580384,0.366219,0.357164,0.359622,0.419516,0.550086,0.218685,-0.050468
340,-0.07443,0.237358,0.173561,0.515963,0.624141,0.426523,0.576518,0.362919,0.354784,0.356424,0.415842,0.548191,0.21704,-0.050976
339,-0.074825,0.232662,0.172209,0.513059,0.620698,0.425459,0.573394,0.36042,0.351228,0.351032,0.412162,0.543659,0.21517,-0.04897
338,-0.074785,0.229334,0.169701,0.512798,0.620901,0.42189,0.574897,0.357506,0.348942,0.348677,0.411078,0.539728,0.216236,-0.051507
337,-0.074726,0.225154,0.168497,0.509483,0.614792,0.420533,0.568995,0.356046,0.346089,0.345431,0.406632,0.536742,0.214561,-0.050352
336,-0.07394,0.222365,0.164805,0.507428,0.613084,0.418144,0.571369,0.353252,0.343775,0.343011,0.403377,0.533521,0.214079,-0.050869
335,-0.074732,0.218162,0.163732,0.506477,0.612171,0.417567,0.567732,0.350812,0.341925,0.337954,0.40018,0.530696,0.2131,-0.049697
334,-0.075781,0.214734,0.161519,0.502708,0.604431,0.414503,0.566277,0.348457,0.337957,0.333932,0.394733,0.52617,0.210928,-0.050414
333,-0.07506,0.211942,0.159788,0.501827,0.601438,0.413321,0.565967,0.347171,0.336045,0.331442,0.393729,0.52335,0.210673,-0.050774
332,-0.074251,0.208846,0.158253,0.501319,0.603317,0.412023,0.562096,0.346544,0.336887,0.333171,0.394419,0.52079,0.21134,-0.051887
331,-0.074072,0.204594,0.156309,0.500508,0.602807,0.410036,0.560196,0.343853,0.334246,0.328593,0.39022,0.516927,0.210448,-0.052041
330,-0.075007,0.202336,0.154645,0.499189,0.599427,0.409005,0.560894,0.340976,0.329927,0.325628,0.387285,0.514038,0.209228,-0.0525
329,-0.075621,0.197265,0.153383,0.495212,0.593488,0.406351,0.559794,0.337687,0.327758,0.320028,0.382817,0.511246,0.207578,-0.051388
328,-0.074961,0.194662,0.1513,0.493402,0.592288,0.405016,0.557567,0.33534,0.324998,0.315009,0.378688,0.507638,0.206633,-0.051185
327,-0.075776,0.191609,0.149393,0.490396,0.58725,0.403451,0.55859,0.333386,0.322998,0.311223,0.375374,0.503853,0.205406,-0.052535
326,-0.076295,0.187799,0.148019,0.490118,0.58675,0.402187,0.555662,0.331176,0.319926,0.307627,0.372416,0.500053,0.204824,-0.052744
325,-0.076958,0.184357,0.145396,0.486581,0.580322,0.4004,0.555075,0.328301,0.31665,0.30231,0.367224,0.494879,0.203127,-0.052001
324,-0.077091,0.181735,0.144208,0.485012,0.57049,0.398857,0.551164,0.326445,0.315473,0.298872,0.36482,0.491085,0.202991,-0.052101
323,-0.075946,0.180162,0.142294,0.488044,0.577265,0.39671,0.548807,0.324927,0.312902,0.298772,0.36247,0.485989,0.203855,-0.052358
322,-0.074004,0.179144,0.140149,0.488136,0.576268,0.395335,0.545074,0.323041,0.311168,0.295892,0.360076,0.482153,0.204389,-0.05413
321,-0.074627,0.17634,0.138138,0.485865,0.573085,0.392772,0.54405,0.321435,0.308307,0.2924,0.355379,0.478344,0.204062,-0.053627
320,-0.074943,0.173723,0.136941,0.483361,0.568753,0.391429,0.544213,0.319199,0.305899,0.287986,0.352839,0.474229,0.203784,-0.054167
319,-0.074324,0.171724,0.135087,0.4827,0.565354,0.39122,0.542627,0.31679,0.303505,0.285014,0.349656,0.470223,0.203612,-0.053083
318,-0.074063,0.169285,0.132849,0.483118,0.567112,0.388575,0.540129,0.315695,0.300792,0.281949,0.34671,0.466842,0.204735,-0.055835
317,-0.07411,0.16689,0.130666,0.480608,0.563402,0.386197,0.536683,0.311661,0.297876,0.278503,0.344081,0.462396,0.204466,-0.054417
316,-0.074237,0.16437,0.128928,0.47796,0.560382,0.384947,0.539292,0.309239,0.295244,0.27414,0.339062,0.458537,0.206177,-0.052286
315,-0.076851,0.159955,0.126427,0.471522,0.545383,0.382329,0.534311,0.305008,0.291319,0.267004,0.336104,0.454139,0.205873,-0.051274
314,-0.074416,0.158118,0.123331,0.473933,0.551304,0.378187,0.533603,0.302502,0.288484,0.267288,0.332969,0.450269,0.21036,-0.056685
313,-0.072404,0.157178,0.120789,0.471297,0.551008,0.374699,0.529418,0.298774,0.28519,0.265019,0.330881,0.44727,0.214464,-0.057482
312,-0.073498,0.152795,0.118357,0.469494,0.552138,0.371216,0.524798,0.295645,0.282117,0.263144,0.328489,0.444599,0.220113,-0.05588
311,-0.073179,0.149178,0.114777,0.465156,0.548487,0.366993,0.523347,0.291473,0.277232,0.25846,0.324759,0.440237,0.226963,-0.056931
310,-0.074402,0.145337,0.112113,0.46019,0.540325,0.362512,0.522504,0.287657,0.274189,0.255223,0.320933,0.436449,0.235964,-0.055965
309,-0.073746,0.143816,0.109007,0.455291,0.530888,0.360442,0.519174,0.283748,0.270417,0.249575,0.31777,0.433508,0.247983,-0.058081
308,-0.0732,0.140577,0.105567,0.452943,0.528466,0.355675,0.515956,0.280339,0.266178,0.24826,0.315277,0.429742,0.266263,-0.057058
307,-0.073144,0.138019,0.102966,0.449442,0.528516,0.35255,0.515854,0.276725,0.263204,0.246503,0.313474,0.427694,0.286369,-0.056476
306,-0.072483,0.136084,0.100998,0.447736,0.527072,0.349044,0.512005,0.274254,0.260589,0.243761,0.313152,0.425931,0.311494,-0.0575
305,-0.072589,0.133051,0.098383,0.446267,0.527788,0.345408,0.510234,0.270445,0.257811,0.24259,0.310654,0.424983,0.347736,-0.056476
304,-0.072395,0.131867,0.096145,0.442564,0.520117,0.342908,0.508577,0.268178,0.25512,0.242521,0.310081,0.422669,0.386107,-0.058334
303,-0.073591,0.130063,0.094645,0.437141,0.514585,0.342022,0.509511,0.266137,0.253465,0.236918,0.307353,0.422796,0.436149,-0.055967
302,-0.073833,0.127516,0.092396,0.43434,0.510219,0.33924,0.506234,0.263644,0.251617,0.236991,0.307359,0.421687,0.497461,-0.057629
301,-0.073302,0.12757,0.091195,0.432807,0.511691,0.336578,0.507035,0.262043,0.250358,0.236744,0.306002,0.421468,0.566017,-0.056601
300,-0.072493,0.12841,0.091279,0.432204,0.513872,0.338457,0.506679,0.262256,0.250743,0.237271,0.30776,0.422665,0.653542,-0.056546
