Wavelength (nm),ureaNoCyt,ureaM0,ureaM1,ureaM2,ureaM3,ureaM4,ureaM5,ureaM6,ureaM7,ureaM8,ureaM9,ureaM10,NATA1,kpi-water2
509,-0.074299,0.023254,0.032656,0.33519,0.452429,0.220968,0.385656,0.152086,0.146148,0.184289,0.226329,0.318299,0.197159,-0.019119
508,-0.074601,0.020817,0.030288,0.333338,0.450766,0.218214,0.383632,0.149497,0.143651,0.182444,0.224349,0.315048,0.196675,-0.018545
507,-0.074713,0.019257,0.028429,0.330714,0.449232,0.215851,0.382574,0.147057,0.140678,0.180834,0.22287,0.31355,0.196504,-0.018976
506,-0.074643,0.01732,0.026991,0.328563,0.445799,0.213019,0.380719,0.145604,0.138149,0.178901,0.221424,0.312461,0.196706,-0.019231
505,-0.07484,0.016536,0.025908,0.325688,0.445982,0.211139,0.378699,0.143059,0.136981,0.177355,0.220251,0.311455,0.196459,-0.019066
504,-0.074927,0.014805,0.024443,0.325117,0.4438,0.209337,0.376809,0.1414,0.13518,0.17491,0.218374,0.309638,0.196186,-0.01916
503,-0.074828,0.014535,0.022633,0.323962,0.442323,0.206658,0.376179,0.139582,0.133138,0.175015,0.216847,0.308185,0.196077,-0.019251
502,-0.075108,0.013049,0.022491,0.322361,0.4417,0.206272,0.3752,0.138922,0.132165,0.173334,0.217198,0.307882,0.196156,-0.01912
501,-0.074685,0.012056,0.020855,0.320128,0.439754,0.203267,0.372939,0.13639,0.130342,0.173068,0.21562,0.307026,0.195776,-0.019331
500,-0.074886,0.011927,0.020386,0.319428,0.438465,0.202312,0.373575,0.135358,0.129653,0.171539,0.215404,0.306371,0.196155,-0.019513
499,-0.075426,0.011021,0.019658,0.318583,0.438749,0.201653,0.371598,0.134354,0.12892,0.170904,0.214342,0.306556,0.194918,-0.020092
498,-0.074807,0.011035,0.019101,0.317562,0.4384,0.200156,0.371713,0.133904,0.127857,0.169857,0.213298,0.306741,0.194468,-0.019147
497,-0.075394,0.010537,0.018473,0.317656,0.436891,0.199636,0.370674,0.133161,0.127356,0.169026,0.213504,0.306021,0.19426,-0.020238
496,-0.075018,0.010964,0.018223,0.317423,0.436143,0.199733,0.37139,0.132448,0.126992,0.168754,0.213637,0.305558,0.194643,-0.020187
495,-0.075176,0.01107,0.018074,0.316874,0.436145,0.198908,0.372093,0.132751,0.126686,0.168654,0.213536,0.305228,0.194286,-0.020534
494,-0.075642,0.010475,0.01792,0.315434,0.436271,0.198949,0.372677,0.132214,0.126505,0.16825,0.21311,0.306346,0.194266,-0.019612
493,-0.075714,0.010477,0.018108,0.314947,0.437854,0.198498,0.372517,0.131433,0.126227,0.167425,0.212709,0.30747,0.193396,-0.020368
492,-0.075422,0.011027,0.017994,0.314824,0.438272,0.197335,0.370172,0.131468,0.126705,0.167544,0.213938,0.307067,0.193646,-0.020886
491,-0.0754,0.011507,0.018022,0.316743,0.437483,0.198364,0.371134,0.132267,0.127646,0.167991,0.213395,0.306613,0.194106,-0.021541
490,-0.075826,0.011501,0.018227,0.315481,0.43589,0.198269,0.371848,0.131803,0.127308,0.167631,0.213082,0.307789,0.192502,-0.020541
489,-0.075986,0.011497,0.018508,0.315237,0.438919,0.198858,0.372966,0.132051,0.127192,0.167196,0.213897,0.309156,0.192292,-0.020792
488,-0.075667,0.012034,0.018954,0.316603,0.4391,0.198748,0.372656,0.132741,0.128445,0.16865,0.214426,0.309604,0.192548,-0.021167
487,-0.075832,0.01233,0.019213,0.317007,0.436698,0.199611,0.371219,0.133833,0.128981,0.169563,0.21556,0.309329,0.192813,-0.021436
486,-0.076035,0.012896,0.019729,0.317413,0.4382,0.200125,0.374171,0.134649,0.129584,0.169989,0.215952,0.310744,0.192259,-0.021293
485,-0.075917,0.012956,0.020432,0.317928,0.44323,0.200993,0.374903,0.134351,0.130473,0.170637,0.216903,0.31334,0.192166,-0.021516
484,-0.074852,0.014229,0.020607,0.321328,0.445025,0.201591,0.373333,0.136152,0.131767,0.174023,0.218316,0.311198,0.193908,-0.023234
483,-0.075045,0.014936,0.021262,0.321059,0.440995,0.202967,0.375006,0.137452,0.132743,0.173925,0.218645,0.311974,0.194784,-0.022677
482,-0.075295,0.015279,0.021734,0.321598,0.439474,0.204193,0.377674,0.138496,0.132798,0.172932,0.218851,0.313243,0.19345,-0.02199
481,-0.075258,0.016224,0.021766,0.322473,0.438887,0.205777,0.378069,0.139171,0.133912,0.17494,0.218994,0.313441,0.193797,-0.022047
480,-0.075416,0.016278,0.022627,0.322946,0.441744,0.206638,0.379451,0.140172,0.134644,0.175429,0.219924,0.3143,0.194406,-0.021432
479,-0.075786,0.01673,0.023135,0.322277,0.441358,0.207352,0.380596,0.140418,0.135461,0.17548,0.220348,0.315726,0.193351,-0.022753
478,-0.075734,0.01786,0.024001,0.323952,0.445113,0.207974,0.381396,0.141863,0.136073,0.177347,0.221373,0.316467,0.194193,-0.022213
477,-0.075454,0.019092,0.024451,0.325238,0.44449,0.208761,0.381484,0.142318,0.13678,0.177519,0.222269,0.317187,0.193618,-0.022058
476,-0.075627,0.019622,0.024866,0.325516,0.444457,0.209863,0.382438,0.143722,0.138539,0.17836,0.223158,0.317835,0.194528,-0.023318
475,-0.075512,0.020873,0.025665,0.327087,0.443833,0.211295,0.384491,0.145149,0.139764,0.1799,0.224379,0.319062,0.194575,-0.022012
474,-0.07538,0.021526,0.025765,0.327026,0.446761,0.211992,0.383609,0.145653,0.139886,0.179518,0.224705,0.31921,0.193502,-0.023066
473,-0.075137,0.023253,0.026384,0.329034,0.447852,0.212663,0.384207,0.146954,0.140868,0.181911,0.22594,0.319418,0.194926,-0.023339
472,-0.075613,0.02438,0.027117,0.328875,0.448688,0.214307,0.386087,0.147833,0.14185,0.181918,0.226204,0.321918,0.194294,-0.023092
471,-0.07581,0.025424,0.027576,0.329145,0.448303,0.213939,0.385793,0.148408,0.142708,0.182422,0.226736,0.322131,0.194082,-0.023229
